GENE,ensg,iGC_gain_p_value,iGC_gain_fdr,iGC_loss_p_value,iGC_loss_fdr,iGC_gain_sample_prop,iGC_normal_sample_prop,iGC_loss_sample_prop,iGC_gain_log2FC,iGC_loss_log2FC,diggit_spearman.pval,spearman_cor,spearman_pv
PGAP3,ENSG00000161395,1.76E-05,1.37E-04,      NA,      NA,0.1845,0.81551,0,3.9631,      NA,2.47E-31,0.54,1.00E-29
PDAP1,ENSG00000106244,4.33E-07,5.53E-06,      NA,      NA,0.1765,0.81818,0.00535,1.0111,-0.6896,1.75E-34,0.562,1.58E-32
ZNF131,ENSG00000172262,6.02E-10,1.59E-08,4.99E-03,9.58E-03,0.1631,0.82353,0.01337,1.0183,-0.4221,6.88E-29,0.522,1.59E-27
BRI3,ENSG00000164713,4.86E-05,3.28E-04,      NA,      NA,0.1818,0.81283,0.00535,1.2818,-0.4646,5.62E-32,0.545,2.67E-30
C19orf12,ENSG00000131943,1.37E-05,1.10E-04,1.88E-09,2.27E-08,0.1711,0.81551,0.01337,2.2396,-0.6257,1.06E-51,0.656,2.40E-47
STARD3,ENSG00000131748,5.04E-05,3.40E-04,      NA,      NA,0.1738,0.8262,0,3.1729,      NA,2.40E-43,0.615,2.91E-40
GATA4,ENSG00000136574,2.18E-07,3.06E-06,4.53E-09,4.89E-08,0.1818,0.73529,0.08289,2.1875,-0.8696,1.70E-24,0.486,1.58E-23
ZNF3,ENSG00000166526,6.17E-05,4.01E-04,      NA,      NA,0.1872,0.81016,0.00267,1.0538,-0.7888,6.58E-39,0.59,2.03E-36
URI1,ENSG00000105176,1.08E-05,8.90E-05,1.67E-08,1.53E-07,0.1684,0.81283,0.01872,2.287,-0.5439,7.13E-46,0.628,2.00E-42
ZKSCAN1,ENSG00000106261,1.06E-05,8.82E-05,      NA,      NA,0.1898,0.80749,0.00267,1.0052,-0.7963,1.97E-17,0.415,5.81E-17
ARPC1B,ENSG00000130429,3.12E-06,3.07E-05,      NA,      NA,0.1765,0.81818,0.00535,1.1343,-0.8969,9.34E-22,0.46,5.30E-21
MCM8,ENSG00000125885,5.87E-20,1.45E-17,4.54E-03,8.82E-03,0.238,0.74599,0.01604,1.0502,-0.4609,2.02E-65,0.71,1.40E-58
KLHL9,ENSG00000198642,9.91E-04,4.14E-03,1.73E-24,6.76E-22,0.0214,0.81818,0.16043,1.0334,-1.0242,7.46E-70,0.725,4.11E-62
MCM7,ENSG00000166508,4.61E-06,4.31E-05,      NA,      NA,0.1845,0.81283,0.00267,1.0848,-0.8739,9.44E-22,0.46,5.36E-21
BUD31,ENSG00000106245,4.51E-05,3.08E-04,      NA,      NA,0.1765,0.81818,0.00535,1.0143,-0.5536,1.64E-26,0.503,2.27E-25
C5orf34,ENSG00000172244,3.18E-08,5.67E-07,3.57E-02,5.46E-02,0.1631,0.8262,0.0107,1.3785,-0.4308,4.54E-22,0.463,2.72E-21
MAGEF1,ENSG00000177383,1.71E-09,4.14E-08,      NA,      NA,0.1631,0.83422,0.00267,1.0002,-0.0418,2.38E-33,0.554,1.60E-31
POFUT1,ENSG00000101346,4.88E-16,4.48E-14,      NA,      NA,0.3235,0.67647,0,1.0614,      NA,1.07E-59,0.689,5.96E-54
SUB1,ENSG00000113387,3.95E-10,1.09E-08,1.34E-03,3.05E-03,0.1551,0.83422,0.0107,1.0105,-0.7646,3.06E-27,0.509,4.93E-26
BRIX1,ENSG00000113460,4.48E-08,7.69E-07,3.41E-04,9.28E-04,0.1578,0.82086,0.02139,1.0526,-0.723,9.02E-20,0.44,3.72E-19
MTAP,ENSG00000099810,4.16E-02,8.41E-02,1.00E-24,4.30E-22,0.0241,0.7861,0.18984,1.277,-1.1176,4.89E-55,0.67,4.03E-50
GSTM1,ENSG00000134184,1.33E-19,2.83E-17,3.07E-22,7.01E-20,0.3021,0.33155,0.36631,1.7581,-3.3277,1.43E-54,0.668,9.78E-50
DSCC1,ENSG00000136982,7.23E-23,3.85E-20,      NA,      NA,0.369,0.62834,0.00267,1.022,-2.753,3.82E-50,0.649,4.86E-46
LMTK2,ENSG00000164715,2.79E-05,2.05E-04,2.85E-02,4.48E-02,0.1818,0.80481,0.01337,1.2358,-0.2072,1.80E-31,0.541,7.57E-30
FAM86B1,ENSG00000186523,9.99E-06,8.38E-05,1.46E-06,7.85E-06,0.2112,0.68182,0.09893,1.4397,-0.5851,3.61E-18,0.424,1.19E-17
PLAGL2,ENSG00000126003,1.07E-11,4.26E-10,      NA,      NA,0.3209,0.67914,0,1.1304,      NA,1.33E-49,0.646,1.39E-45
PLOD3,ENSG00000106397,3.85E-08,6.72E-07,5.20E-03,9.94E-03,0.1524,0.8369,0.0107,1.0639,-0.9538,3.85E-35,0.566,4.12E-33
SPATA25,ENSG00000149634,9.80E-11,3.10E-09,      NA,      NA,0.3717,0.62834,0,1.2221,      NA,6.22E-40,0.596,2.60E-37
SEM1,ENSG00000127922,6.14E-05,3.99E-04,2.04E-02,3.31E-02,0.1765,0.81283,0.0107,1.0968,-0.8356,1.17E-17,0.417,3.54E-17
AP1S1,ENSG00000106367,4.35E-08,7.51E-07,2.15E-03,4.60E-03,0.1524,0.8369,0.0107,1.0619,-1.0635,8.09E-25,0.488,8.00E-24
HNF4A,ENSG00000101076,1.72E-19,3.54E-17,      NA,      NA,0.3743,0.62567,0,1.0153,      NA,8.04E-29,0.521,1.83E-27
PABPC1L,ENSG00000101104,4.49E-14,2.78E-12,      NA,      NA,0.3743,0.62567,0,1.3873,      NA,3.24E-41,0.603,2.01E-38
CDC25B,ENSG00000101224,1.03E-11,4.15E-10,1.13E-03,2.64E-03,0.2353,0.75401,0.0107,1.0117,-1.2123,2.03E-30,0.534,6.65E-29
SKP2,ENSG00000145604,1.75E-08,3.32E-07,1.44E-02,2.44E-02,0.1711,0.81016,0.01872,1.0585,-0.5632,3.20E-12,0.347,5.21E-12
