Hugo_Symbol,MB-0362,MB-0346,MB-0386,MB-0574,MB-0503,MB-0641,MB-0201,MB-0218,MB-0316,MB-0189,MB-0891,MB-0658,MB-0899,MB-0605,MB-0258
CR749394,5.282516653,5.312610508,5.436368931,5.539568552,5.121196831,5.356934722,5.254903089,5.266096261,5.699143879,5.195771172,5.464721932,5.430366039,5.448026555,5.45601067,5.267636723
CD164,5.453829651,5.856598584,5.381198518,5.897421823,5.424915514,5.30363008,5.295739482,5.750634878,5.724758453,6.147561138,6.065479211,5.807719511,6.449963571,5.849672368,6.104016891
DB337918,5.393823406,5.038963379,5.451263965,5.602036495,5.53660495,5.344465056,5.544628188,5.479739674,5.26756858,5.459103893,5.621884282,5.524043101,5.208114268,5.269484376,5.346138574
MOBKL2A,6.781114379,6.932299004,6.671176051,6.708134754,6.97223168,7.160777566,7.082701376,6.727930278,6.863075988,6.771742646,6.7344475,6.80294035,6.753697353,7.001174509,6.466174962
HGC6.1.1,7.504079425,5.470089178,5.487075897,5.23818903,5.332219976,5.192835827,5.194159352,5.207901765,5.366228463,5.229478166,5.505487401,5.601378399,5.39885219,5.597089355,5.408124795
OR1J2,5.1802515,5.50676545,5.579007097,5.407079565,5.628957677,5.354078828,5.245637138,5.31138549,5.471344976,5.570103001,5.564109131,5.375145492,5.483907198,5.319670583,5.471919131
GNG5,8.852986309,8.578356383,8.3819303,8.86233854,8.991659845,8.396526907,8.033162674,8.60039594,8.839458264,8.348755143,8.398941664,9.038146725,8.173396443,8.683116904,10.05235857
TAF15,10.16658975,8.954535242,9.688829694,10.62720419,11.11385633,10.49788985,10.19699424,10.14383267,10.20001393,10.28040645,10.03537361,10.1034716,10.03960854,10.32997931,10.75267944
EXTL3,6.338942009,6.614996163,7.174418596,7.861521154,6.785892883,6.900978275,6.726223184,6.666561121,7.445598603,6.819077614,7.117419481,6.669013704,7.012445569,6.530143772,6.283324114
CNPY3,7.830940295,7.266968009,7.510641671,8.504880853,7.427664489,7.842467109,7.705597311,7.396803508,8.306100663,7.847086236,7.421367119,7.849065218,7.628264699,7.627194372,7.809345569
C19orf24,7.75991055,8.73774819,7.538776405,8.472334254,7.623514635,7.809135754,7.375813786,8.255172636,7.824648439,7.311349003,7.915847635,7.653470652,7.648754522,7.495065031,7.959201359
GAS2L2,5.541562857,5.351616727,5.334597498,5.425727422,5.215198282,5.594748802,5.405914527,5.429495391,5.365672117,5.577565008,5.531377113,5.56282809,5.544998126,5.430437369,5.815795005
AA913006,5.334756692,5.221230885,5.320168852,5.477933769,5.23740732,5.278128697,5.201092709,5.401294055,5.339981847,5.163106672,5.49234478,5.252977191,5.138963222,5.260403772,5.24872781
C21orf33,8.293492627,8.003608073,8.242359781,8.196947776,8.099301407,8.446695359,7.529388204,8.303794549,8.314105148,8.008120971,7.949780876,7.991340437,7.979906552,7.703864216,9.045066598
DA442494,5.190575394,5.204524929,5.397104103,5.371514987,5.306056405,5.312319417,5.391130151,5.332450579,5.415092339,5.144265188,5.364099427,5.365938109,5.24531824,5.427405095,5.433780547
P2RX1,5.795105787,5.422077321,5.536267703,5.405207804,5.949686254,5.810179519,5.537779572,5.701443709,5.876521211,5.742443431,5.715585341,5.615639933,5.683564922,5.621208216,5.638994882
CD515666,5.5574412,5.604374547,5.42968882,5.251938868,4.993864727,5.363974744,5.591057206,5.528430706,5.601789417,5.572860418,5.433260412,5.271630449,5.32635305,5.430150725,5.309518494
LRR1,8.133722451,8.575274898,7.773822093,7.565383244,7.270413223,7.353230948,8.525687603,8.649657487,8.119422104,7.959830964,7.479192503,8.865203635,7.771317552,7.570659364,8.072988123
ATP1B2,6.463730986,6.328006415,6.301213344,6.681692807,7.026336974,6.737698221,6.666387408,6.54594912,6.584193535,6.664152566,6.324895503,6.645413133,6.391656721,6.657179107,7.044351474
BM668203,5.307319054,5.313813994,5.379018336,5.446782927,5.713625363,5.506569286,5.341465869,5.309308289,5.588672835,5.377294027,5.16157732,5.485864601,5.551423279,5.342431023,5.612408308
UBLCP1,5.908625996,6.054625002,6.103212082,6.247464951,6.258711269,6.472262707,6.506001404,6.851787705,6.88386654,7.344641936,7.12460225,7.348335014,7.2235397,7.085458028,6.696552965
BG236224,5.488834333,5.31890816,5.14985546,5.336722017,5.391423624,5.351991501,5.381342686,5.354325969,5.441107782,5.270138744,5.554684165,5.279665925,5.238602881,5.37306934,5.24303453
ADAMTSL4,6.182266788,5.93910317,5.937610118,5.50661327,5.749602468,6.260421724,6.205092762,5.706052215,5.936915991,6.000708391,6.207136204,6.089648079,5.864993477,5.941575469,5.735849958
BX109195,5.420022118,5.386150177,5.357623989,5.492948361,5.030004122,5.438175552,5.383552746,5.545897035,5.326188694,5.458808311,5.467403464,5.211928761,5.534979709,5.369472171,5.278801938
IL28B,5.113389531,5.318686355,5.385586292,5.469042879,5.318001005,5.364633887,5.351422008,5.324731041,5.244702241,5.328715537,5.26805721,5.416148912,5.227621853,5.207370054,5.497653751
