gene,transcript,score,pvalue,qvalue,info
A1BG,ENST00000263100,0.0550,0.3549,0.8823,oncogene
NUF2,ENST00000271452,0.0790,0.1845,0.8070,oncogene
CARD14,ENST00000573882,0.0380,0.5601,0.9459,oncogene
TMTC4,ENST00000342624,0.0780,0.1896,0.8070,oncogene
FBXL12,ENST00000247977,0.0600,0.3094,0.8552,oncogene
PDP2,ENST00000311765,0.0230,0.7937,0.9843,oncogene
FCGBP,ENST00000221347,0.0500,0.4064,0.9006,oncogene
NOMO2,ENST00000381474,0.0800,0.1845,0.8070,oncogene
TMF1,ENST00000398559,0.0550,0.3549,0.8823,oncogene
C2orf76,ENST00000409466,0.0390,0.5457,0.9424,oncogene
KIAA0430,ENST00000396368,0.0490,0.4171,0.9012,oncogene
AGMO,ENST00000342526,0.0410,0.5174,0.9316,oncogene
FAM129A,ENST00000367511,0.0580,0.3266,0.8657,oncogene
DARS2,ENST00000361951,0.0870,0.1482,0.7928,oncogene
GLT1D1,ENST00000281703,0.0480,0.4281,0.9036,oncogene
RADIL,ENST00000399583,0.0700,0.2363,0.8374,oncogene
NKAIN3,ENST00000523211,0.0280,0.7158,0.9744,oncogene
OMD,ENST00000375550,0.0340,0.6201,0.9622,oncogene
STRADA,ENST00000336174,0.0600,0.3094,0.8552,oncogene
SYNRG,ENST00000339208,0.0750,0.2058,0.8136,oncogene
PDK4,ENST00000005178,0.0340,0.6356,0.9622,oncogene
DCHS1,ENST00000299441,0.0420,0.5174,0.9316,oncogene
C1RL,ENST00000266542,0.0270,0.7324,0.9779,oncogene
DSG4,ENST00000359747,0.0820,0.1698,0.8000,oncogene
PSMG3,ENST00000288607,0.0500,0.4064,0.9006,oncogene
KTI12,ENST00000371614,0.0410,0.5174,0.9316,oncogene
DCAF8L2,ENST00000451261,0.0290,0.7000,0.9742,oncogene
PDHA2,ENST00000295266,0.0580,0.3266,0.8657,oncogene
INO80C,ENST00000441607,0.0730,0.2174,0.8182,oncogene
SCRN1,ENST00000434476,0.0380,0.5601,0.9459,oncogene
PLXNA1,ENST00000393409,0.0570,0.3359,0.8729,oncogene
MSRA,ENST00000317173,0.0360,0.5891,0.9622,oncogene
MRPL3,ENST00000264995,0.0610,0.3012,0.8537,oncogene
MTCH1,ENST00000373616,0.0630,0.2853,0.8466,oncogene
ANKRD42,ENST00000393392,0.0220,0.8248,0.9915,oncogene
LRRC31,ENST00000316428,0.0260,0.7484,0.9803,oncogene
1-Mar,ENST00000366910,0.0500,0.4064,0.9006,oncogene
TPST1,ENST00000304842,0.0190,0.8531,0.9915,oncogene
RORC,ENST00000318247,0.0660,0.2699,0.8441,oncogene
MYOC,ENST00000037502,0.0630,0.2853,0.8466,oncogene
VANGL2,ENST00000368061,0.0540,0.3643,0.8848,oncogene
EBF1,ENST00000313708,0.0470,0.4402,0.9089,oncogene
PCCB,ENST00000469217,0.0410,0.5174,0.9316,oncogene
HOXA7,ENST00000242159,0.0420,0.5174,0.9316,oncogene
TMCO1,ENST00000367881,0.0610,0.3012,0.8537,oncogene
EXOSC9,ENST00000379663,0.0640,0.2775,0.8466,oncogene
SH2B3,ENST00000341259,0.0680,0.2491,0.8415,oncogene
XRRA1,ENST00000340360,0.0330,0.6356,0.9622,oncogene
HPN,ENST00000262626,0.0390,0.5457,0.9424,oncogene
HOMER3,ENST00000539827,0.0520,0.3848,0.8906,oncogene
TEX35,ENST00000319416,0.0690,0.2491,0.8415,oncogene
TADA1,ENST00000367874,0.0490,0.4171,0.9012,oncogene
NDUFAF6,ENST00000396124,0.0540,0.3643,0.8848,oncogene
CD59,ENST00000395850,0.0170,0.8802,0.9915,oncogene
ABCB11,ENST00000263817,0.0460,0.4523,0.9116,oncogene
RGAG4,ENST00000545866,0.0580,0.3266,0.8657,oncogene
CCDC81,ENST00000445632,0.0450,0.4647,0.9143,oncogene
CCNL1,ENST00000295926,0.0550,0.3643,0.8848,oncogene
NKX3-1,ENST00000380871,0.0580,0.3266,0.8657,oncogene
ST6GALNAC3,ENST00000328299,0.0430,0.4905,0.9226,oncogene
IDO2,ENST00000502986,0.0330,0.6356,0.9622,oncogene
FGF13,ENST00000370603,0.0440,0.4905,0.9226,oncogene
SLC20A2,ENST00000342228,0.0660,0.2628,0.8440,oncogene
CCDC142,ENST00000290418,0.0200,0.8387,0.9915,oncogene
REG1B,ENST00000305089,0.0300,0.6834,0.9710,oncogene
GREB1,ENST00000381486,0.0400,0.5313,0.9386,oncogene
BRD7,ENST00000394689,0.0860,0.1524,0.7928,oncogene
GALE,ENST00000374497,0.0720,0.2297,0.8238,oncogene
INHA,ENST00000243786,0.0870,0.1482,0.7928,oncogene
GLI2,ENST00000452319,0.0870,0.1482,0.7928,oncogene
CCBL2,ENST00000260508,0.0670,0.2557,0.8415,oncogene
CIB2,ENST00000258930,0.0470,0.4402,0.9089,oncogene
INSIG1,ENST00000340368,0.0290,0.7000,0.9742,oncogene
COG8,ENST00000306875,0.0370,0.5891,0.9622,oncogene
HYAL3,ENST00000336307,0.0140,0.9168,0.9915,oncogene
LRRC16B,ENST00000342740,0.0460,0.4523,0.9116,oncogene
CCDC150,ENST00000389175,0.0450,0.4647,0.9143,oncogene
RNF38,ENST00000259605,0.0540,0.3643,0.8848,oncogene
C1QA,ENST00000374642,0.0580,0.3266,0.8657,oncogene
ASB17,ENST00000284142,0.0700,0.2363,0.8374,oncogene
GFM1,ENST00000486715,0.0790,0.1845,0.8070,oncogene
POTED,ENST00000299443,0.0580,0.3266,0.8657,oncogene
SUPT7L,ENST00000337768,0.0490,0.4171,0.9012,oncogene
SEC61A2,ENST00000298428,0.0390,0.5457,0.9424,oncogene
MAT1A,ENST00000372213,0.0580,0.3266,0.8657,oncogene
YDJC,ENST00000292778,0.0420,0.5037,0.9316,oncogene
SLC4A8,ENST00000453097,0.0280,0.7158,0.9744,oncogene
PGRMC1,ENST00000217971,0.0710,0.2297,0.8238,oncogene
PGAP2,ENST00000278243,0.0170,0.8928,0.9915,oncogene
MRFAP1L1,ENST00000320848,0.0340,0.6201,0.9622,oncogene
ZNF583,ENST00000333201,0.0330,0.6356,0.9622,oncogene
CASD1,ENST00000297273,0.0510,0.3954,0.8950,oncogene
CBLC,ENST00000270279,0.0740,0.2115,0.8182,oncogene
BMP3,ENST00000282701,0.0230,0.7937,0.9843,oncogene
ATP1A4,ENST00000368081,0.0830,0.1698,0.8000,oncogene
BST1,ENST00000265016,0.0550,0.3549,0.8823,oncogene
PTGER1,ENST00000292513,0.0360,0.6045,0.9622,oncogene
RASSF7,ENST00000397583,0.0510,0.3954,0.8950,oncogene
ZNF569,ENST00000316950,0.0530,0.3743,0.8851,oncogene
ZNF347,ENST00000452676,0.0300,0.6834,0.9710,oncogene
KLHL17,ENST00000338591,0.0250,0.7635,0.9824,oncogene
CLCN1,ENST00000343257,0.0770,0.1944,0.8073,oncogene
OR12D2,ENST00000383555,0.0290,0.7000,0.9742,oncogene
CSF1R,ENST00000286301,0.0510,0.3954,0.8950,oncogene
GPR179,ENST00000342292,0.0500,0.4064,0.9006,oncogene
UFSP2,ENST00000264689,0.0830,0.1698,0.8000,oncogene
BRSK1,ENST00000309383,0.0630,0.2853,0.8466,oncogene
KCNIP1,ENST00000411494,0.0440,0.4778,0.9226,oncogene
AXL,ENST00000301178,0.0790,0.1845,0.8070,oncogene
CPED1,ENST00000310396,0.0650,0.2699,0.8441,oncogene
OR8J3,ENST00000301529,0.0390,0.5457,0.9424,oncogene
VWA7,ENST00000375688,0.0460,0.4523,0.9116,oncogene
ATPAF1,ENST00000576409,0.0630,0.2853,0.8466,oncogene
GLE1,ENST00000309971,0.0680,0.2491,0.8415,oncogene
RSPH1,ENST00000291536,0.0300,0.6834,0.9710,oncogene
NCOA7,ENST00000368357,0.0790,0.1845,0.8070,oncogene
4-Sep,ENST00000457347,0.0610,0.3012,0.8537,oncogene
PLCH1,ENST00000340059,0.0600,0.3094,0.8552,oncogene
PTPN5,ENST00000358540,0.0770,0.1944,0.8073,oncogene
RIPK4,ENST00000332512,0.0670,0.2557,0.8415,oncogene
LRRC66,ENST00000343457,0.0570,0.3454,0.8729,oncogene
8-Sep,ENST00000378719,0.0400,0.5457,0.9424,oncogene
OR10A6,ENST00000309838,0.0590,0.3266,0.8657,oncogene
MRPL39,ENST00000307301,0.0410,0.5174,0.9316,oncogene
COL16A1,ENST00000373672,0.0630,0.2853,0.8466,oncogene
YPEL2,ENST00000312655,0.0090,0.9634,0.9915,oncogene
PHLDB2,ENST00000431670,0.0690,0.2491,0.8415,oncogene
TNFRSF21,ENST00000296861,0.0460,0.4523,0.9116,oncogene
RGMB,ENST00000308234,0.0600,0.3094,0.8552,oncogene
TBC1D12,ENST00000225235,0.0480,0.4281,0.9036,oncogene
MSTO1,ENST00000245564,0.0460,0.4523,0.9116,oncogene
IFI44,ENST00000370747,0.0230,0.7937,0.9843,oncogene
SLITRK3,ENST00000475390,0.0580,0.3266,0.8657,oncogene
ACTRT2,ENST00000378404,0.0450,0.4647,0.9143,oncogene
ITIH1,ENST00000273283,0.0680,0.2491,0.8415,oncogene
FRMD4A,ENST00000357447,0.0640,0.2775,0.8466,oncogene
PAX3,ENST00000392069,0.0420,0.5037,0.9316,oncogene
IP6K1,ENST00000321599,0.0390,0.5457,0.9424,oncogene
GTPBP10,ENST00000222511,0.0630,0.2853,0.8466,oncogene
SERPINA12,ENST00000341228,0.0280,0.7158,0.9744,oncogene
SIVA1,ENST00000329967,0.0270,0.7324,0.9779,oncogene
RAB4A,ENST00000366690,0.0320,0.6512,0.9623,oncogene
GALNT10,ENST00000297107,0.0830,0.1653,0.8000,oncogene
FLG,ENST00000368799,0.0600,0.3094,0.8552,oncogene
PPAN-P2RY11,ENST00000393796,0.0440,0.4778,0.9226,oncogene
COL9A3,ENST00000343916,0.0360,0.6045,0.9622,oncogene
ZNF839,ENST00000442396,0.0530,0.3743,0.8851,oncogene
SUPV3L1,ENST00000359655,0.0700,0.2363,0.8374,oncogene
ASB15,ENST00000451558,0.0790,0.1845,0.8070,oncogene
YY1AP1,ENST00000368339,0.0560,0.3454,0.8729,oncogene
TRBV5-4,ENST00000454561,0.0400,0.5457,0.9424,oncogene
CGNL1,ENST00000281282,0.0370,0.5891,0.9622,oncogene
STIM2,ENST00000465503,0.0350,0.6045,0.9622,oncogene
TAAR2,ENST00000367931,0.0350,0.6045,0.9622,oncogene
GSTCD,ENST00000515279,0.0680,0.2491,0.8415,oncogene
MPHOSPH9,ENST00000392425,0.0340,0.6201,0.9622,oncogene
TRIM58,ENST00000366481,0.0840,0.1653,0.8000,oncogene
CDCP1,ENST00000296129,0.0350,0.6201,0.9622,oncogene
SBDS,ENST00000246868,0.0580,0.3266,0.8657,oncogene
KCNN4,ENST00000262888,0.0330,0.6512,0.9623,oncogene
PRKG2,ENST00000395578,0.0380,0.5601,0.9459,oncogene
TTC30B,ENST00000408939,0.0450,0.4647,0.9143,oncogene
FBXO47,ENST00000378079,0.0450,0.4647,0.9143,oncogene
CTDSPL,ENST00000273179,0.0650,0.2699,0.8441,oncogene
POC1A,ENST00000296484,0.0690,0.2423,0.8395,oncogene
TLR2,ENST00000260010,0.0630,0.2853,0.8466,oncogene
SP140,ENST00000392045,0.0330,0.6356,0.9622,oncogene
GNA11,ENST00000078429,0.0270,0.7324,0.9779,oncogene
LIPE,ENST00000244289,0.0740,0.2174,0.8182,oncogene
FAM73A,ENST00000370791,0.0590,0.3179,0.8657,oncogene
FBXO2,ENST00000354287,0.0820,0.1698,0.8000,oncogene
GDPGP1,ENST00000558017,0.0820,0.1698,0.8000,oncogene
FHIT,ENST00000468189,0.0410,0.5174,0.9316,oncogene
MBOAT7,ENST00000245615,0.0420,0.5037,0.9316,oncogene
HMGB2,ENST00000296503,0.0660,0.2628,0.8440,oncogene
C17orf53,ENST00000319977,0.0210,0.8248,0.9915,oncogene
ST6GALNAC2,ENST00000225276,0.0460,0.4523,0.9116,oncogene
ABI3,ENST00000225941,0.0500,0.4171,0.9012,oncogene
MRM1,ENST00000250156,0.0820,0.1698,0.8000,oncogene
TAS2R16,ENST00000249284,0.0590,0.3179,0.8657,oncogene
SIGMAR1,ENST00000277010,0.0610,0.3012,0.8537,oncogene
DCTPP1,ENST00000319285,0.0460,0.4523,0.9116,oncogene
OPLAH,ENST00000426825,0.0410,0.5174,0.9316,oncogene
PSMG2,ENST00000317615,0.0650,0.2699,0.8441,oncogene
AMER3,ENST00000423981,0.0380,0.5601,0.9459,oncogene
JPH3,ENST00000284262,0.0420,0.5174,0.9316,oncogene
GSR,ENST00000221130,0.0280,0.7158,0.9744,oncogene
USF2,ENST00000222305,0.0750,0.2058,0.8136,oncogene
OR52A5,ENST00000307388,0.0340,0.6201,0.9622,oncogene
LSG1,ENST00000265245,0.0590,0.3179,0.8657,oncogene
KLHL21,ENST00000377658,0.0600,0.3094,0.8552,oncogene
PDE7A,ENST00000401827,0.0500,0.4064,0.9006,oncogene
PRR5L,ENST00000378867,0.0400,0.5313,0.9386,oncogene
RMND1,ENST00000367303,0.0180,0.8665,0.9915,oncogene
LRRN2,ENST00000367175,0.0530,0.3743,0.8851,oncogene
PRDM13,ENST00000369215,0.0370,0.5746,0.9622,oncogene
KIAA1919,ENST00000368847,0.0510,0.3954,0.8950,oncogene
TMEM38A,ENST00000187762,0.0390,0.5457,0.9424,oncogene
NXPE1,ENST00000251921,0.0370,0.5891,0.9622,oncogene
FNBP4,ENST00000263773,0.0730,0.2174,0.8182,oncogene
MUC6,ENST00000421673,0.0360,0.5891,0.9622,oncogene
SLC37A4,ENST00000357590,0.0340,0.6201,0.9622,oncogene
ATP2C2,ENST00000262429,0.0460,0.4523,0.9116,oncogene
SEPHS2,ENST00000500504,0.0500,0.4064,0.9006,oncogene
AVPI1,ENST00000370626,0.0540,0.3743,0.8851,oncogene
CNDP2,ENST00000324262,0.0730,0.2174,0.8182,oncogene
TIMM17A,ENST00000367287,0.0440,0.4905,0.9226,oncogene
DHRS2,ENST00000344777,0.0450,0.4647,0.9143,oncogene
ZNF93,ENST00000343769,0.0290,0.7000,0.9742,oncogene
TTC7A,ENST00000319190,0.0460,0.4523,0.9116,oncogene
ZNF624,ENST00000311331,0.0770,0.1944,0.8073,oncogene
PGAM5,ENST00000498926,0.0180,0.8665,0.9915,oncogene
TRAPPC6A,ENST00000006275,0.0220,0.8248,0.9915,oncogene
DGKE,ENST00000284061,0.0520,0.3848,0.8906,oncogene
EIF2AK1,ENST00000199389,0.0750,0.2058,0.8136,oncogene
TEKT1,ENST00000338694,0.0470,0.4402,0.9089,oncogene
SPIN3,ENST00000374919,0.0380,0.5601,0.9459,oncogene
MTMR10,ENST00000435680,0.0330,0.6356,0.9622,oncogene
CHKB,ENST00000406938,0.0240,0.7792,0.9843,oncogene
OR4K13,ENST00000315693,0.0410,0.5174,0.9316,oncogene
ZFP41,ENST00000522452,0.0450,0.4647,0.9143,oncogene
GABRG2,ENST00000414552,0.0410,0.5174,0.9316,oncogene
PLD5,ENST00000536534,0.0740,0.2174,0.8182,oncogene
IGDCC3,ENST00000327987,0.0370,0.5891,0.9622,oncogene
ZNRF3,ENST00000544604,0.0800,0.1794,0.8055,oncogene
PRR16,ENST00000379551,0.0250,0.7635,0.9824,oncogene
UNC5D,ENST00000404895,0.0830,0.1653,0.8000,oncogene
ADH1B,ENST00000305046,0.0260,0.7484,0.9803,oncogene
MXRA5,ENST00000217939,0.0320,0.6512,0.9623,oncogene
DPH2,ENST00000255108,0.0700,0.2363,0.8374,oncogene
CCM2,ENST00000381112,0.0680,0.2491,0.8415,oncogene
ZNF668,ENST00000539836,0.0480,0.4281,0.9036,oncogene
C4orf29,ENST00000398965,0.0400,0.5313,0.9386,oncogene
SEC31B,ENST00000370345,0.0720,0.2297,0.8238,oncogene
MAGEA8,ENST00000535454,0.0290,0.7000,0.9742,oncogene
ACVR1C,ENST00000243349,0.0420,0.5037,0.9316,oncogene
KRT35,ENST00000393989,0.0370,0.5891,0.9622,oncogene
NEXN,ENST00000334785,0.0760,0.2000,0.8101,oncogene
ARHGEF5,ENST00000056217,0.0740,0.2115,0.8182,oncogene
PPRC1,ENST00000278070,0.0600,0.3094,0.8552,oncogene
GLTSCR1,ENST00000396720,0.0680,0.2557,0.8415,oncogene
KRT3,ENST00000417996,0.0760,0.2000,0.8101,oncogene
RALGAPA2,ENST00000202677,0.0600,0.3094,0.8552,oncogene
SLC5A1,ENST00000266088,0.0350,0.6201,0.9622,oncogene
HSPB3,ENST00000302005,0.0780,0.1896,0.8070,oncogene
HAVCR2,ENST00000307851,0.0470,0.4402,0.9089,oncogene
PARP14,ENST00000474629,0.0560,0.3454,0.8729,oncogene
OR8J1,ENST00000303039,0.0310,0.6674,0.9678,oncogene
NLRP6,ENST00000312165,0.0300,0.6834,0.9710,oncogene
ATG4C,ENST00000317868,0.0660,0.2628,0.8440,oncogene
ZNF43,ENST00000354959,0.0420,0.5037,0.9316,oncogene
DIS3L,ENST00000319212,0.0440,0.4905,0.9226,oncogene
FCGR2A,ENST00000271450,0.0400,0.5313,0.9386,oncogene
IQCA1,ENST00000409907,0.0280,0.7158,0.9744,oncogene
CYHR1,ENST00000438911,0.0510,0.3954,0.8950,oncogene
KCNG3,ENST00000306078,0.0360,0.6045,0.9622,oncogene
PLEKHB2,ENST00000409158,0.0720,0.2234,0.8238,oncogene
BMP6,ENST00000283147,0.0510,0.3954,0.8950,oncogene
SH3D19,ENST00000304527,0.0820,0.1698,0.8000,oncogene
RFX7,ENST00000423270,0.0440,0.4905,0.9226,oncogene
PDE11A,ENST00000286063,0.0360,0.6045,0.9622,oncogene
TC2N,ENST00000435962,0.0180,0.8665,0.9915,oncogene
TRPV4,ENST00000418703,0.0580,0.3266,0.8657,oncogene
C2,ENST00000299367,0.0430,0.4905,0.9226,oncogene
FAM178A,ENST00000370269,0.0780,0.1896,0.8070,oncogene
TLR10,ENST00000308973,0.0370,0.5891,0.9622,oncogene
DZIP1L,ENST00000327532,0.0840,0.1653,0.8000,oncogene
PPP1R35,ENST00000292330,0.0420,0.5174,0.9316,oncogene
ADAMTS14,ENST00000373208,0.0380,0.5601,0.9459,oncogene
FAM84B,ENST00000304916,0.0650,0.2699,0.8441,oncogene
FRS2,ENST00000299293,0.0730,0.2174,0.8182,oncogene
SPRYD4,ENST00000338146,0.0340,0.6201,0.9622,oncogene
MYO1A,ENST00000442789,0.0360,0.6045,0.9622,oncogene
NPDC1,ENST00000371601,0.0410,0.5174,0.9316,oncogene
GRK1,ENST00000335678,0.0810,0.1746,0.8055,oncogene
IL10RA,ENST00000227752,0.0490,0.4171,0.9012,oncogene
GABRD,ENST00000378585,0.0420,0.5174,0.9316,oncogene
RXRB,ENST00000374685,0.0420,0.5037,0.9316,oncogene
USP27X,ENST00000508866,0.0340,0.6201,0.9622,oncogene
MYBPC2,ENST00000357701,0.0290,0.7000,0.9742,oncogene
FAM186B,ENST00000257894,0.0400,0.5313,0.9386,oncogene
PITPNM1,ENST00000356404,0.0690,0.2423,0.8395,oncogene
POLR3D,ENST00000397802,0.0540,0.3743,0.8851,oncogene
EPHA6,ENST00000389672,0.0560,0.3454,0.8729,oncogene
NDUFA6,ENST00000498737,0.0410,0.5174,0.9316,oncogene
IGSF9B,ENST00000533871,0.0440,0.4905,0.9226,oncogene
RSPO1,ENST00000356545,0.0160,0.8928,0.9915,oncogene
RRP7A,ENST00000323013,0.0630,0.2853,0.8466,oncogene
EMILIN3,ENST00000332312,0.0770,0.1944,0.8073,oncogene
CARD11,ENST00000396946,0.0640,0.2775,0.8466,oncogene
FGF9,ENST00000382353,0.0360,0.6045,0.9622,oncogene
PHYHIP,ENST00000454243,0.0420,0.5037,0.9316,oncogene
SECISBP2L,ENST00000559471,0.0360,0.5891,0.9622,oncogene
SCAMP3,ENST00000302631,0.0670,0.2557,0.8415,oncogene
NPTXR,ENST00000333039,0.0370,0.5891,0.9622,oncogene
DNHD1,ENST00000254579,0.0580,0.3266,0.8657,oncogene
GP1BA,ENST00000329125,0.0540,0.3743,0.8851,oncogene
GDPD4,ENST00000315938,0.0480,0.4281,0.9036,oncogene
CEL,ENST00000372080,0.0500,0.4064,0.9006,oncogene
IFI35,ENST00000438323,0.0500,0.4064,0.9006,oncogene
ZNF486,ENST00000335117,0.0350,0.6201,0.9622,oncogene
HLF,ENST00000226067,0.0600,0.3094,0.8552,oncogene
PCDHA12,ENST00000398631,0.0320,0.6512,0.9623,oncogene
RTEL1,ENST00000508582,0.0370,0.5891,0.9622,oncogene
CERCAM,ENST00000372838,0.0350,0.6201,0.9622,oncogene
NEK11,ENST00000383366,0.0800,0.1794,0.8055,oncogene
NR2C2,ENST00000323373,0.0400,0.5313,0.9386,oncogene
TSSK3,ENST00000373534,0.0250,0.7635,0.9824,oncogene
COMMD9,ENST00000263401,0.0360,0.6045,0.9622,oncogene
BICD1,ENST00000281474,0.0360,0.5891,0.9622,oncogene
RGL1,ENST00000304685,0.0280,0.7158,0.9744,oncogene
CDH7,ENST00000397968,0.0560,0.3454,0.8729,oncogene
OR4A15,ENST00000314706,0.0530,0.3743,0.8851,oncogene
RRBP1,ENST00000377807,0.0510,0.3954,0.8950,oncogene
CLDN2,ENST00000541806,0.0240,0.7792,0.9843,oncogene
CD47,ENST00000361309,0.0350,0.6045,0.9622,oncogene
MBOAT1,ENST00000324607,0.0430,0.4905,0.9226,oncogene
ABTB1,ENST00000232744,0.0340,0.6201,0.9622,oncogene
BRSK2,ENST00000382179,0.0550,0.3549,0.8823,oncogene
SMCO1,ENST00000397537,0.0510,0.3954,0.8950,oncogene
HIST1H2BL,ENST00000377401,0.0650,0.2699,0.8441,oncogene
ADAMTS8,ENST00000257359,0.0270,0.7324,0.9779,oncogene
EFHC2,ENST00000420999,0.0720,0.2297,0.8238,oncogene
PLBD1,ENST00000240617,0.0800,0.1845,0.8070,oncogene
DSG3,ENST00000257189,0.0300,0.6834,0.9710,oncogene
OR4D2,ENST00000545221,0.0310,0.6674,0.9678,oncogene
RLBP1,ENST00000268125,0.0660,0.2628,0.8440,oncogene
EPG5,ENST00000282041,0.0290,0.7000,0.9742,oncogene
WNK2,ENST00000297954,0.0580,0.3266,0.8657,oncogene
MCAT,ENST00000290429,0.0540,0.3643,0.8848,oncogene
DIRC2,ENST00000261038,0.0440,0.4905,0.9226,oncogene
SNTG1,ENST00000522124,0.0710,0.2297,0.8238,oncogene
UBXN11,ENST00000374222,0.0620,0.2928,0.8503,oncogene
MOS,ENST00000311923,0.0700,0.2423,0.8395,oncogene
DTWD2,ENST00000510708,0.0590,0.3266,0.8657,oncogene
SLC26A11,ENST00000361193,0.0410,0.5174,0.9316,oncogene
SLC45A1,ENST00000471889,0.0530,0.3743,0.8851,oncogene
PRSS3,ENST00000361005,0.0480,0.4281,0.9036,oncogene
GUF1,ENST00000281543,0.0400,0.5313,0.9386,oncogene
ZNF609,ENST00000326648,0.0800,0.1794,0.8055,oncogene
SLC7A1,ENST00000380752,0.0330,0.6356,0.9622,oncogene
SMOC2,ENST00000354536,0.0340,0.6201,0.9622,oncogene
PAX9,ENST00000361487,0.0530,0.3743,0.8851,oncogene
NLRP12,ENST00000324134,0.0730,0.2174,0.8182,oncogene
UPK2,ENST00000264031,0.0620,0.2928,0.8503,oncogene
CHST3,ENST00000373115,0.0540,0.3743,0.8851,oncogene
HSD17B6,ENST00000554643,0.0390,0.5601,0.9459,oncogene
ADAP2,ENST00000330889,0.0420,0.5037,0.9316,oncogene
ABHD11,ENST00000222800,0.0390,0.5457,0.9424,oncogene
IGHG1,ENST00000390548,0.0330,0.6356,0.9622,oncogene
NDRG4,ENST00000394282,0.0470,0.4402,0.9089,oncogene
DPM1,ENST00000371588,0.0380,0.5601,0.9459,oncogene
TMEM184B,ENST00000361906,0.0430,0.4905,0.9226,oncogene
ZNF20,ENST00000334213,0.0550,0.3549,0.8823,oncogene
HIST2H2BF,ENST00000545683,0.0180,0.8802,0.9915,oncogene
GPATCH2L,ENST00000261530,0.0480,0.4281,0.9036,oncogene
LPIN1,ENST00000449576,0.0770,0.1944,0.8073,oncogene
NME4,ENST00000219479,0.0350,0.6201,0.9622,oncogene
FZD8,ENST00000374694,0.0380,0.5601,0.9459,oncogene
TSHZ2,ENST00000371497,0.0830,0.1653,0.8000,oncogene
ANKMY2,ENST00000306999,0.0730,0.2174,0.8182,oncogene
GALNT2,ENST00000366672,0.0500,0.4064,0.9006,oncogene
POU2F2,ENST00000526816,0.0780,0.1944,0.8073,oncogene
SPDL1,ENST00000265295,0.0760,0.2000,0.8101,oncogene
SUCLA2,ENST00000378654,0.0440,0.4905,0.9226,oncogene
SLC4A5,ENST00000377634,0.0490,0.4171,0.9012,oncogene
TAGLN,ENST00000532870,0.0190,0.8531,0.9915,oncogene
WDR66,ENST00000288912,0.0440,0.4778,0.9226,oncogene
C10orf99,ENST00000372126,0.0300,0.6834,0.9710,oncogene
ECI1,ENST00000301729,0.0270,0.7324,0.9779,oncogene
SLC2A12,ENST00000275230,0.0630,0.2853,0.8466,oncogene
RXFP2,ENST00000298386,0.0360,0.6045,0.9622,oncogene
RTKN,ENST00000272430,0.0670,0.2628,0.8440,oncogene
SLC25A2,ENST00000239451,0.0490,0.4171,0.9012,oncogene
ERP29,ENST00000261735,0.0430,0.4905,0.9226,oncogene
C6orf15,ENST00000259870,0.0240,0.7792,0.9843,oncogene
SLC20A1,ENST00000272542,0.0770,0.1944,0.8073,oncogene
ITIH5,ENST00000256861,0.0680,0.2491,0.8415,oncogene
PIEZO2,ENST00000503781,0.0590,0.3266,0.8657,oncogene
GDF11,ENST00000257868,0.0370,0.5891,0.9622,oncogene
WDR63,ENST00000294664,0.0290,0.7000,0.9742,oncogene
RBM46,ENST00000281722,0.0360,0.6045,0.9622,oncogene
GTF3C6,ENST00000329970,0.0680,0.2491,0.8415,oncogene
GOLGA1,ENST00000373555,0.0380,0.5746,0.9622,oncogene
SHPK,ENST00000572705,0.0660,0.2699,0.8441,oncogene
RGMA,ENST00000557301,0.0370,0.5891,0.9622,oncogene
PIK3C2G,ENST00000433979,0.0480,0.4281,0.9036,oncogene
OTOF,ENST00000272371,0.0610,0.3012,0.8537,oncogene
SMCR8,ENST00000406438,0.0750,0.2058,0.8136,oncogene
SNX11,ENST00000393405,0.0670,0.2557,0.8415,oncogene
MAN1C1,ENST00000374332,0.0320,0.6512,0.9623,oncogene
VRK2,ENST00000435505,0.0710,0.2297,0.8238,oncogene
KCNQ3,ENST00000388996,0.0540,0.3743,0.8851,oncogene
VIT,ENST00000379242,0.0340,0.6201,0.9622,oncogene
TTLL4,ENST00000392102,0.0500,0.4064,0.9006,oncogene
KLK8,ENST00000391806,0.0570,0.3359,0.8729,oncogene
KMO,ENST00000366559,0.0410,0.5174,0.9316,oncogene
CENPH,ENST00000283006,0.0260,0.7484,0.9803,oncogene
TMLHE,ENST00000334398,0.0290,0.7000,0.9742,oncogene
PYCRL,ENST00000220966,0.0260,0.7484,0.9803,oncogene
TFE3,ENST00000315869,0.0670,0.2557,0.8415,oncogene
PALM2-AKAP2,ENST00000374530,0.0790,0.1896,0.8070,oncogene
SNRPG,ENST00000272348,0.0600,0.3094,0.8552,oncogene
ZAN,ENST00000546292,0.0360,0.6045,0.9622,oncogene
FAHD1,ENST00000382666,0.0400,0.5313,0.9386,oncogene
SNTG2,ENST00000308624,0.0370,0.5746,0.9622,oncogene
LMTK3,ENST00000270238,0.0400,0.5313,0.9386,oncogene
SYTL4,ENST00000455616,0.0530,0.3743,0.8851,oncogene
MGARP,ENST00000398955,0.0350,0.6201,0.9622,oncogene
CLDN16,ENST00000264734,0.0220,0.8248,0.9915,oncogene
CNDP1,ENST00000358821,0.0760,0.2000,0.8101,oncogene
