cancer_type_abbr,gene1,gene2,all.high_others_diff,all.high_others_pval.log.rank.5y,all.high_others_log2.HR.5y,two_factors_pval.log.rank.5y,all.high_all.low_log2.HR.5y,high.low_all.low_log2.HR.5y,low.high_all.low_log2.HR.5y
STAD,INAFM2,PRR9,1.58,3.64E-06,1.27,0.00133,1.309,0.601,0.709
STAD,INAFM2,SPANXB1,1.63,1.10E-05,1.29,0.00271,1.28,0.609,0.67
STAD,INHBA,LCE2B,1.54,0.00865,1.41,0.0102,1.525,0.469,1.056
STAD,INMT,RND1,1.5,1.16E-05,1.14,0.00185,1.374,0.672,0.702
STAD,IQCJ,LCE2D,1.5,0.000635,1.44,0.0012,1.388,0.722,0.666
STAD,IQCJ,NKX2-3,1.52,9.04E-06,1.26,0.000522,1.363,0.82,0.543
STAD,IQCJ,PRSS21,1.61,5.40E-06,1.34,0.000281,1.502,0.888,0.614
STAD,IQCJ,TMEM45A,1.52,4.12E-06,1.29,0.00032,1.422,0.825,0.596
STAD,ISLR,LCE2B,1.72,0.0252,1.57,0.00633,1.726,0.529,1.197
STAD,ISLR,LCE2D,1.68,0.00404,1.45,0.00695,1.491,0.517,0.974
STAD,ISLR2,RND1,1.58,4.55E-06,1.19,0.00286,1.331,0.634,0.696
STAD,ITIH2,LCE2B,1.56,0.0028,1.43,0.013,1.42,0.44,0.98
STAD,ITIH4,LCE2B,1.71,0.00186,1.66,0.00128,1.769,0.686,1.083
STAD,JAM2,LCE2B,2.21,0.00108,2,0.00145,1.91,0.68,1.23
STAD,JAM3,SPANXB1,1.54,1.97E-05,1.29,0.000223,1.588,0.834,0.754
STAD,JCAD,LCE2B,2.12,0.000324,1.89,0.00574,1.671,0.538,1.133
STAD,JCAD,PASD1,1.66,2.05E-06,1.26,0.00467,1.213,0.591,0.621
STAD,KCND2,LCE2B,2.48,6.95E-05,2.21,0.000551,2.008,0.763,1.245
STAD,KCNE4,LCE2B,1.58,0.0114,1.46,0.00736,1.612,0.509,1.103
STAD,KCNE4,PASD1,1.57,1.48E-05,1.18,0.0043,1.25,0.602,0.647
STAD,KCNIP1,LCE2B,1.6,0.00588,1.48,0.00787,1.561,0.501,1.06
STAD,KCNIP1,PASD1,1.67,1.11E-06,1.27,0.00623,1.148,0.556,0.593
STAD,KCNIP1,PRR9,1.51,1.88E-05,1.19,0.0016,1.31,0.583,0.727
STAD,KCNIP1,SPANXB1,1.51,0.000145,1.16,0.00326,1.285,0.593,0.692
STAD,KCNN2,KPNA7,1.67,1.13E-06,1.28,0.0016,1.433,0.689,0.744
STAD,KCNN2,LCE2B,1.8,0.00198,1.65,0.00728,1.607,0.513,1.094
STAD,KCNQ3,LCE2D,1.57,0.00033,1.5,0.000553,1.63,0.764,0.866
STAD,KCNT2,PASD1,1.52,7.26E-06,1.18,0.00376,1.17,0.609,0.561
STAD,KCTD1,SYT3,1.5,2.31E-05,1.1,0.00429,1.292,0.64,0.652
STAD,KCTD1,TTYH2,1.55,3.95E-06,1.2,0.00049,1.621,0.764,0.857
STAD,KLHDC8A,LCE2D,1.8,7.49E-05,1.59,0.00535,1.418,0.547,0.871
STAD,KLHL41,LCN1,1.67,1.93E-08,1.38,0.000477,1.433,0.757,0.675
STAD,KLHL41,PASD1,1.52,3.07E-06,1.22,0.00163,1.235,0.684,0.551
STAD,KPNA7,NKAIN2,1.58,6.64E-06,1.2,0.00192,1.38,0.718,0.662
STAD,KPNA7,PTCHD4,1.55,2.34E-06,1.26,0.000178,1.669,0.794,0.874
STAD,LAMA2,LCE2B,2.21,0.00128,1.97,0.00275,1.85,0.62,1.23
STAD,LAMA2,RND1,1.57,1.50E-06,1.22,0.00173,1.35,0.674,0.676
STAD,LAMP5,LCE2B,1.66,0.00144,1.6,0.00236,1.66,0.63,1.03
STAD,LAMP5,LCE2D,1.66,0.000847,1.51,0.00173,1.593,0.659,0.934
STAD,LAMP5,RND1,1.57,3.85E-07,1.26,0.000833,1.399,0.735,0.664
STAD,LBP,LCE2B,1.61,0.00322,1.49,0.00908,1.505,0.484,1.021
STAD,LBP,MAGEL2,1.51,6.80E-06,1.13,0.00711,1.12,0.543,0.577
STAD,LBP,RAB9B,1.56,1.45E-06,1.22,0.00209,1.268,0.574,0.694
STAD,LCE2B,LIMD2,1.93,0.000406,1.75,0.00797,1.574,1.075,0.499
STAD,LCE2B,LIN7A,1.72,0.00111,1.63,0.00362,1.644,1.053,0.591
STAD,LCE2B,LRRIQ1,1.57,0.00334,1.48,0.0055,1.56,1.016,0.544
STAD,LCE2B,MAP1LC3C,1.6,0.00215,1.54,0.00302,1.628,1.021,0.607
STAD,LCE2B,MAP2,2.04,0.0011,1.85,0.00415,1.748,1.171,0.577
STAD,LCE2B,MBOAT4,1.64,0.00111,1.55,0.00583,1.531,0.992,0.54
STAD,LCE2B,MC5R,1.68,0.000955,1.58,0.00602,1.53,0.994,0.536
STAD,LCE2B,MEI4,1.87,0.000233,1.82,0.000748,1.802,1.071,0.731
STAD,LCE2B,MPO,1.54,0.00823,1.43,0.00765,1.564,1.057,0.507
STAD,LCE2B,MRGPRF,1.7,0.0252,1.57,0.00468,1.762,1.199,0.563
STAD,LCE2B,MROH2B,2.01,0.000229,1.83,0.00501,1.632,1.08,0.551
STAD,LCE2B,MYH1,1.71,0.000567,1.63,0.00367,1.586,0.998,0.588
STAD,LCE2B,MYL10,1.57,0.0219,1.45,0.00633,1.665,1.139,0.526
STAD,LCE2B,MYO1H,1.6,0.0037,1.47,0.0101,1.493,1.022,0.471
STAD,LCE2B,NAALAD2,1.68,0.0038,1.55,0.00729,1.59,1.08,0.51
STAD,LCE2B,NFE4,1.83,0.000299,1.71,0.00459,1.59,1.025,0.564
STAD,LCE2B,NKAIN2,1.71,0.000965,1.57,0.00997,1.471,0.997,0.474
STAD,LCE2B,NKAIN3,1.64,0.00547,1.5,0.0099,1.532,1.061,0.472
STAD,LCE2B,NKAIN4,1.67,0.00168,1.58,0.00408,1.606,1.029,0.576
STAD,LCE2B,NT5E,2.45,6.81E-06,2.18,0.00107,1.86,1.156,0.703
STAD,LCE2B,OLFML2B,1.52,0.00805,1.53,0.000465,1.887,1.114,0.772
STAD,LCE2B,OLR1,1.53,0.00857,1.42,0.00783,1.551,1.05,0.501
STAD,LCE2B,ONECUT1,1.68,0.000842,1.59,0.00536,1.547,0.998,0.549
STAD,LCE2B,OTX2,1.76,0.000573,1.63,0.00796,1.46,0.959,0.5
STAD,LCE2B,PAPPA,2.73,5.27E-06,2.32,0.00126,1.883,1.196,0.687
STAD,LCE2B,PAPPA2,1.6,0.00108,1.49,0.0101,1.431,0.953,0.478
STAD,LCE2B,PCDHAC1,1.86,0.000507,1.73,0.00443,1.648,1.078,0.569
STAD,LCE2B,PCDHB2,1.72,0.0015,1.68,0.00111,1.78,1.084,0.696
STAD,LCE2B,PCDHGA10,1.95,0.00355,1.81,0.002,1.863,1.212,0.651
STAD,LCE2B,PDE6G,1.89,0.000264,1.72,0.00902,1.527,1.041,0.487
STAD,LCE2B,PDGFRL,2.35,7.76E-05,2.04,0.00484,1.71,1.154,0.557
STAD,LCE2B,PDK4,2.29,0.00705,2.1,0.000305,2.23,1.4,0.83
STAD,LCE2B,PEG10,1.67,0.00391,1.55,0.006,1.6,1.068,0.532
STAD,LCE2B,PF4V1,1.68,0.00211,1.55,0.00869,1.535,1.043,0.492
STAD,LCE2B,PHYHIP,1.74,0.00554,1.6,0.00637,1.646,1.119,0.527
STAD,LCE2B,PI15,1.68,0.000955,1.58,0.0056,1.537,0.993,0.544
STAD,LCE2B,PKD1L1,1.71,0.0025,1.62,0.00311,1.693,1.088,0.605
STAD,LCE2B,PLPPR4,2.04,0.00097,1.86,0.00289,1.799,1.183,0.615
STAD,LCE2B,PNMA2,2.7,0.000158,2.27,0.00206,1.967,1.301,0.665
STAD,LCE2B,POU6F2,1.59,0.0011,1.55,0.00224,1.602,0.964,0.638
STAD,LCE2B,PPM1E,1.79,0.000763,1.68,0.00364,1.649,1.061,0.589
STAD,LCE2B,PRAMEF18,1.56,0.0217,1.45,0.00664,1.586,1.066,0.521
STAD,LCE2B,PRSS1,1.52,0.00988,1.39,0.0104,1.51,1.044,0.466
STAD,LCE2B,PRSS21,2.52,0.000462,2.13,0.00468,1.793,1.226,0.568
STAD,LCE2B,PTGFR,1.76,0.00409,1.65,0.00321,1.724,1.126,0.598
STAD,LCE2B,RAMP1,1.97,0.00352,1.8,0.00331,1.79,1.193,0.597
STAD,LCE2B,RET,1.66,0.0151,1.53,0.006,1.689,1.155,0.534
STAD,LCE2B,RGS1,2.5,0.000314,2.17,0.00172,1.936,1.265,0.671
STAD,LCE2B,RGS2,3.04,0.000138,2.49,0.000557,2.131,1.358,0.773
STAD,LCE2B,RGS4,2.35,0.000235,2.05,0.00354,1.787,1.195,0.592
STAD,LCE2B,RLN1,1.84,0.000303,1.71,0.00554,1.574,1.03,0.545
STAD,LCE2B,RNF180,1.51,0.0285,1.39,0.00709,1.646,1.132,0.514
STAD,LCE2B,RTN4RL2,1.68,0.000911,1.58,0.00613,1.532,0.998,0.534
STAD,LCE2B,S100A12,1.79,0.00474,1.63,0.00797,1.616,1.117,0.498
STAD,LCE2B,S100Z,2.02,0.000254,1.91,0.000912,1.852,1.138,0.714
STAD,LCE2B,SCTR,1.66,0.00581,1.59,0.00209,1.75,1.11,0.64
STAD,LCE2B,SELE,1.61,0.00405,1.54,0.00286,1.682,1.069,0.613
STAD,LCE2B,SERPINE1,1.57,0.000295,1.71,1.75E-05,1.961,0.956,1.005
STAD,LCE2B,SHOX2,1.65,0.00169,1.58,0.00279,1.644,1.028,0.616
STAD,LCE2B,SLC16A7,1.78,0.0195,1.63,0.00497,1.78,1.219,0.561
STAD,LCE2B,SLC2A3,1.92,0.000117,1.9,0.000234,1.929,1.101,0.828
STAD,LCE2B,SLC7A2,2.06,0.00103,1.85,0.00477,1.718,1.16,0.558
STAD,LCE2B,SLITRK2,1.63,0.00217,1.54,0.00517,1.583,1.032,0.551
STAD,LCE2B,SMIM10L2A,1.56,0.00668,1.46,0.00594,1.593,1.057,0.535
STAD,LCE2B,SNCG,2.35,1.30E-05,2.12,0.00107,1.83,1.13,0.7
STAD,LCE2B,SORCS2,1.68,0.00101,1.65,0.00119,1.744,1.046,0.698
STAD,LCE2B,SOX5,1.81,0.00222,1.75,0.000861,1.875,1.155,0.721
STAD,LCE2B,SPANXB1,1.59,0.0161,1.52,0.00455,1.613,1.027,0.586
STAD,LCE2B,SPINK14,1.63,0.00763,1.54,0.0037,1.692,1.108,0.584
STAD,LCE2B,SSBP2,2.76,0.00059,2.29,0.00252,1.943,1.305,0.639
STAD,LCE2B,STC1,2.25,0.00337,2,0.00252,1.915,1.279,0.636
STAD,LCE2B,STK32A,1.84,0.000699,1.79,0.000668,1.85,1.11,0.74
STAD,LCE2B,SYT14,1.67,0.000763,1.68,0.000424,1.82,1.04,0.78
STAD,LCE2B,SYT9,1.66,0.00215,1.54,0.0075,1.535,1.028,0.507
STAD,LCE2B,TAL2,1.68,0.00298,1.59,0.00386,1.661,1.079,0.582
STAD,LCE2B,TBX18,1.65,0.00223,1.63,0.000809,1.817,1.088,0.729
STAD,LCE2B,TCEAL7,1.71,0.00577,1.72,0.00019,2.05,1.21,0.84
STAD,LCE2B,TDRD10,1.72,0.00159,1.58,0.00896,1.521,1.037,0.484
STAD,LCE2B,TDRP,1.53,0.00659,1.57,0.000242,1.94,1.12,0.82
STAD,LCE2B,TENM3,1.67,0.00169,1.58,0.00407,1.62,1.04,0.58
STAD,LCE2B,TFAP2B,1.59,0.0037,1.47,0.00896,1.497,1.009,0.488
STAD,LCE2B,TFPI,1.72,0.00244,1.62,0.00373,1.67,1.085,0.586
STAD,LCE2B,TFPI2,1.95,0.000446,1.84,0.00138,1.806,1.127,0.679
STAD,LCE2B,THBS1,2.24,0.00103,2,0.00222,1.893,1.247,0.646
STAD,LCE2B,THEG,1.56,0.00311,1.5,0.00342,1.609,1.013,0.596
STAD,LCE2B,THPO,1.61,0.00116,1.55,0.00321,1.581,0.977,0.604
STAD,LCE2B,THSD7A,2.23,0.000432,1.98,0.00348,1.781,1.187,0.594
STAD,LCE2B,TIMD4,1.86,0.00311,1.69,0.00637,1.68,1.15,0.53
STAD,LCE2B,TMEM132E,1.58,0.0117,1.46,0.00707,1.607,1.094,0.512
STAD,LCE2B,TMEM88,2.25,0.00103,2,0.00264,1.84,1.219,0.621
STAD,LCE2B,TMSB15A,1.61,0.00674,1.56,0.00169,1.778,1.117,0.661
STAD,LCE2B,TUBA1A,1.65,0.0165,1.51,0.00748,1.643,1.137,0.506
STAD,LCE2B,TUBB4A,1.52,0.00472,1.43,0.00588,1.545,1.007,0.538
STAD,LCE2B,UBE2QL1,2.05,0.000739,1.9,0.00171,1.846,1.183,0.662
STAD,LCE2B,USP51,2.15,0.0019,1.9,0.00561,1.755,1.209,0.546
STAD,LCE2B,VGLL3,1.53,0.00785,1.43,0.00625,1.59,1.059,0.531
STAD,LCE2B,VIPR2,1.59,0.0333,1.5,0.00284,1.818,1.203,0.615
STAD,LCE2B,VWA5B1,1.85,0.000187,1.76,0.00248,1.625,1.003,0.622
STAD,LCE2B,WNT10B,1.68,0.00059,1.56,0.00911,1.452,0.961,0.49
STAD,LCE2B,WNT16,1.86,0.000642,1.7,0.00724,1.578,1.067,0.512
STAD,LCE2B,YPEL4,1.64,0.000567,1.63,0.000897,1.706,0.983,0.723
STAD,LCE2B,ZEB1,1.79,0.0174,1.65,0.00405,1.792,1.213,0.578
STAD,LCE2B,ZNF423,1.57,0.00674,1.56,0.00073,1.845,1.113,0.732
STAD,LCE2D,LCN1,1.6,0.000277,1.43,0.00558,1.355,0.808,0.547
STAD,LCE2D,LMOD3,1.58,0.00112,1.42,0.00329,1.475,0.877,0.597
STAD,LCE2D,MAB21L2,1.75,0.000405,1.6,0.00113,1.646,0.948,0.697
STAD,LCE2D,MAP6,1.53,0.00691,1.37,0.00262,1.592,0.971,0.621
STAD,LCE2D,MAP7D2,1.71,0.000203,1.5,0.00695,1.373,0.855,0.518
STAD,LCE2D,MATN3,1.54,0.00094,1.45,0.00078,1.614,0.884,0.73
STAD,LCE2D,MC5R,1.57,0.000645,1.39,0.00641,1.355,0.825,0.529
STAD,LCE2D,MEI4,1.73,0.000179,1.62,0.000679,1.658,0.92,0.739
STAD,LCE2D,MEOX2,1.52,0.00576,1.33,0.00474,1.488,0.929,0.558
STAD,LCE2D,MFAP4,1.58,0.031,1.37,0.00349,1.671,1.07,0.601
STAD,LCE2D,MRGPRF,1.85,0.0027,1.6,0.00419,1.602,1.025,0.577
STAD,LCE2D,MYH4,1.52,0.00125,1.36,0.00449,1.41,0.843,0.567
STAD,LCE2D,MYL10,2.57,8.43E-06,2.07,0.00437,1.615,1.04,0.575
STAD,LCE2D,NCAM2,1.71,0.000497,1.52,0.00426,1.483,0.911,0.571
STAD,LCE2D,NDN,1.63,0.0095,1.4,0.00644,1.52,0.993,0.527
STAD,LCE2D,NKAIN2,1.57,0.000831,1.36,0.0109,1.285,0.822,0.463
STAD,LCE2D,NKAIN3,1.56,0.00233,1.34,0.0107,1.337,0.875,0.462
STAD,LCE2D,NME5,1.51,0.0123,1.36,0.00166,1.676,1.01,0.666
STAD,LCE2D,NOV,1.89,0.000251,1.66,0.00373,1.548,0.962,0.586
STAD,LCE2D,NPAS3,1.53,0.00117,1.42,0.00127,1.56,0.871,0.688
STAD,LCE2D,NPY1R,1.59,0.000741,1.42,0.00439,1.427,0.858,0.569
STAD,LCE2D,NT5E,1.8,0.000291,1.64,0.00108,1.665,0.962,0.702
STAD,LCE2D,NTN1,1.61,0.00203,1.41,0.00594,1.443,0.91,0.534
STAD,LCE2D,NUDT10,1.69,0.000715,1.53,0.00178,1.591,0.935,0.656
STAD,LCE2D,NUDT11,1.58,0.000281,1.47,0.00161,1.496,0.825,0.671
STAD,LCE2D,OR2W3,1.5,0.00358,1.34,0.00364,1.475,0.891,0.584
STAD,LCE2D,PAPPA,1.62,0.000648,1.48,0.00212,1.512,0.876,0.635
STAD,LCE2D,PCDHGA10,1.86,0.00103,1.65,0.00183,1.69,1.03,0.66
STAD,LCE2D,PCDHGA4,1.56,0.00252,1.39,0.00391,1.487,0.908,0.579
STAD,LCE2D,PDE2A,1.64,0.00336,1.49,0.00143,1.68,1,0.68
STAD,LCE2D,PDGFRL,1.64,0.00108,1.43,0.00676,1.406,0.888,0.518
STAD,LCE2D,PDK4,1.57,0.00366,1.47,0.00053,1.777,1.011,0.766
STAD,LCE2D,PF4V1,1.52,0.00298,1.31,0.00858,1.372,0.879,0.493
STAD,LCE2D,PHYHIP,1.51,0.0105,1.31,0.00591,1.49,0.954,0.536
STAD,LCE2D,PPP1R1C,1.53,0.0013,1.36,0.00501,1.398,0.842,0.555
STAD,LCE2D,PRAMEF18,1.88,0.0011,1.63,0.00578,1.462,0.925,0.537
STAD,LCE2D,PRKD1,1.88,0.000126,1.72,0.00065,1.732,0.986,0.747
STAD,LCE2D,PRSS1,1.63,0.00138,1.4,0.0101,1.353,0.884,0.47
STAD,LCE2D,PRSS21,1.74,0.00476,1.51,0.00469,1.582,1.015,0.566
STAD,LCE2D,PRTG,1.51,0.00102,1.5,7.92E-05,1.85,0.942,0.908
STAD,LCE2D,PTGER3,1.58,0.00136,1.4,0.0051,1.44,0.887,0.552
STAD,LCE2D,RAMP1,2.71,2.26E-06,2.17,0.00251,1.691,1.059,0.631
STAD,LCE2D,RBPMS2,1.6,0.00226,1.39,0.00769,1.411,0.908,0.502
STAD,LCE2D,RERG,1.56,0.000672,1.43,0.00232,1.484,0.851,0.633
STAD,LCE2D,RET,2.13,0.000304,1.8,0.00447,1.606,1.034,0.572
STAD,LCE2D,RGS4,1.63,0.000666,1.43,0.00639,1.39,0.863,0.527
STAD,LCE2D,RLN1,1.51,0.00177,1.33,0.00612,1.381,0.846,0.535
STAD,LCE2D,RTN4RL2,1.84,9.59E-05,1.62,0.00464,1.464,0.902,0.562
STAD,LCE2D,RXRG,1.74,9.25E-05,1.62,0.000811,1.601,0.878,0.723
STAD,LCE2D,SLC16A7,1.79,0.00395,1.55,0.00456,1.603,1.032,0.571
STAD,LCE2D,SLC22A17,1.68,0.00112,1.48,0.00467,1.487,0.927,0.56
STAD,LCE2D,SLC7A2,1.68,0.000443,1.47,0.00737,1.38,0.871,0.509
STAD,LCE2D,SLITRK2,1.61,0.00064,1.43,0.00522,1.417,0.866,0.55
STAD,LCE2D,SOX7,1.9,0.000386,1.68,0.00226,1.63,0.993,0.637
STAD,LCE2D,SPANXB1,1.75,0.000967,1.57,0.00511,1.413,0.84,0.573
STAD,LCE2D,SPINK14,1.74,0.00125,1.54,0.00313,1.569,0.966,0.603
STAD,LCE2D,ST8SIA6,1.56,0.00178,1.43,0.00165,1.581,0.917,0.664
STAD,LCE2D,STK32A,1.68,0.000317,1.57,0.000757,1.635,0.905,0.73
STAD,LCE2D,TBX18,1.63,0.000798,1.53,0.000703,1.685,0.944,0.741
STAD,LCE2D,THBS1,1.52,0.00795,1.35,0.00281,1.595,0.978,0.617
STAD,LCE2D,TMEM132E,1.64,0.00196,1.42,0.00724,1.423,0.912,0.51
STAD,LCE2D,TTC29,1.68,0.000201,1.56,0.00128,1.557,0.872,0.686
STAD,LCE2D,TUBA1A,1.55,0.00584,1.33,0.00863,1.408,0.92,0.489
STAD,LCE2D,TUBB4A,1.51,0.00109,1.33,0.00678,1.343,0.819,0.524
STAD,LCE2D,VGLL3,1.65,0.000892,1.45,0.00587,1.44,0.902,0.538
STAD,LCE2D,VWA5B1,1.85,6.34E-05,1.67,0.00211,1.518,0.882,0.636
STAD,LCE2D,WDR17,1.71,0.000144,1.49,0.01,1.312,0.837,0.475
STAD,LCE2D,WISP2,1.53,0.00153,1.34,0.00751,1.362,0.852,0.511
STAD,LCE2D,WNT10B,1.52,0.00168,1.33,0.00799,1.345,0.841,0.503
STAD,LCE2D,WNT7A,1.61,0.000386,1.44,0.00463,1.4,0.834,0.566
STAD,LCE2D,YPEL4,1.52,0.000673,1.43,0.000843,1.569,0.843,0.727
STAD,LCE2D,ZNF662,1.72,0.00115,1.56,0.00147,1.66,0.983,0.677
STAD,LCN1,SORCS2,1.54,2.38E-07,1.28,0.000269,1.523,0.71,0.813
STAD,LIMS2,PASD1,1.54,4.98E-06,1.24,0.000706,1.39,0.76,0.63
STAD,LMOD3,RTN4RL2,1.74,1.90E-08,1.39,0.00106,1.4,0.72,0.68
STAD,LMOD3,TMEM37,1.52,7.59E-06,1.16,0.0022,1.318,0.71,0.608
STAD,LRFN1,TFAP2B,1.53,2.70E-06,1.19,0.00136,1.388,0.742,0.647
STAD,LRRC17,PASD1,1.5,4.42E-06,1.19,0.00195,1.224,0.668,0.556
STAD,MAB21L2,PASD1,1.52,3.47E-06,1.22,0.00138,1.278,0.702,0.575
STAD,MAB21L2,PRR9,1.64,8.31E-07,1.39,0.000115,1.648,0.826,0.822
STAD,MAGEA11,NT5E,1.61,1.94E-07,1.29,0.000575,1.458,0.668,0.79
STAD,MAGEA3,PRKD1,1.52,2.36E-06,1.21,0.000624,1.442,0.624,0.818
STAD,MAP7D2,WNT10B,1.5,6.27E-06,1.13,0.00553,1.156,0.581,0.575
STAD,MCEMP1,SNCG,1.5,1.38E-06,1.23,0.000577,1.398,0.655,0.744
STAD,MCEMP1,TBX18,1.5,6.31E-07,1.25,0.000268,1.501,0.69,0.811
STAD,MEOX2,PASD1,1.64,1.77E-06,1.26,0.00407,1.209,0.603,0.606
STAD,MEOX2,SPANXB1,1.55,5.04E-05,1.21,0.00227,1.325,0.629,0.696
STAD,MRGPRF,PASD1,1.53,4.19E-05,1.14,0.00471,1.214,0.591,0.623
STAD,MRGPRF,SPANXB1,1.56,9.10E-05,1.21,0.00278,1.32,0.612,0.707
STAD,MRVI1,PRR9,1.52,3.98E-05,1.21,0.000653,1.488,0.683,0.806
STAD,MRVI1,SPANXB1,1.55,5.29E-05,1.21,0.00283,1.295,0.606,0.689
STAD,MYL10,NKX2-3,1.58,2.70E-06,1.17,0.00823,1.125,0.555,0.57
STAD,MYL10,RGS1,1.59,6.79E-07,1.22,0.00386,1.197,0.552,0.645
STAD,NACAD,RND1,1.51,1.22E-06,1.23,0.000367,1.485,0.808,0.677
STAD,NAP1L2,RND1,1.51,3.11E-07,1.26,0.000298,1.45,0.814,0.636
STAD,NFE4,SNCG,1.51,6.71E-07,1.23,0.000984,1.299,0.599,0.7
STAD,NFE4,TF,1.54,2.48E-07,1.26,0.000784,1.337,0.619,0.719
STAD,NLGN4Y,SPANXB1,1.66,1.61E-05,1.32,0.00132,1.452,0.692,0.76
STAD,NOV,OLIG3,1.52,2.73E-05,1.17,0.00281,1.277,0.634,0.644
STAD,NPTX1,PRR9,1.59,2.89E-06,1.29,0.000892,1.387,0.646,0.741
STAD,NPTX1,RND1,1.51,8.15E-06,1.16,0.00127,1.423,0.711,0.712
STAD,NRG3,PASD1,1.53,1.52E-06,1.24,0.00143,1.231,0.7,0.531
STAD,NTN1,RND1,1.58,1.72E-06,1.21,0.003,1.267,0.619,0.648
STAD,NTN1,SPANXB1,1.62,9.93E-06,1.27,0.00361,1.233,0.578,0.655
STAD,NUDT10,PASD1,1.62,6.39E-07,1.29,0.00213,1.234,0.663,0.571
STAD,OGN,SPANXB1,1.5,7.88E-05,1.19,0.0016,1.342,0.66,0.682
STAD,ONECUT1,PRAMEF18,1.51,9.80E-06,1.15,0.00601,1.106,0.578,0.527
STAD,PAPPA,RPS4Y2,1.62,5.58E-08,1.33,0.000744,1.365,0.697,0.668
STAD,PAPPA2,SERPINE1,1.56,3.62E-09,1.42,1.48E-05,1.585,0.546,1.039
STAD,PASD1,PCYT1B,1.54,6.29E-07,1.28,0.000685,1.284,0.524,0.76
STAD,PASD1,PDE7B,1.51,1.36E-05,1.15,0.00428,1.178,0.583,0.595
STAD,PASD1,PKNOX2,1.53,6.62E-06,1.17,0.00501,1.128,0.551,0.577
STAD,PASD1,PRKD1,1.59,7.54E-07,1.3,0.000553,1.418,0.635,0.783
STAD,PASD1,RGS4,1.72,7.09E-07,1.33,0.00279,1.296,0.65,0.646
STAD,PASD1,RIMS2,1.61,1.49E-06,1.26,0.00275,1.229,0.589,0.64
STAD,PASD1,RXRG,1.55,9.23E-07,1.27,0.00105,1.256,0.533,0.723
STAD,PASD1,SNCG,1.54,9.83E-06,1.24,0.000581,1.443,0.662,0.78
STAD,PASD1,SOX7,1.6,7.82E-06,1.25,0.00126,1.414,0.689,0.725
STAD,PASD1,ST8SIA6,1.5,6.84E-06,1.19,0.0015,1.285,0.591,0.695
STAD,PASD1,THPO,1.52,3.00E-06,1.2,0.00294,1.173,0.541,0.631
STAD,PASD1,THSD7A,1.63,1.30E-06,1.26,0.00401,1.202,0.599,0.602
STAD,PASD1,UBE2QL1,1.73,2.55E-07,1.38,0.000855,1.45,0.695,0.756
STAD,PASD1,WDR17,1.54,5.83E-06,1.15,0.0113,1.011,0.524,0.488
STAD,PASD1,ZFHX4,1.51,1.07E-05,1.16,0.00448,1.152,0.559,0.593
STAD,PCDHB5,RND1,1.56,4.25E-06,1.22,0.000722,1.504,0.765,0.739
STAD,PCDHGA4,TFAP2B,1.64,1.16E-06,1.26,0.00217,1.337,0.694,0.643
STAD,PDE1B,PRR9,1.57,2.98E-07,1.38,7.10E-05,1.6,0.851,0.749
STAD,PITX2,TIMD4,1.64,3.61E-07,1.27,0.00344,1.228,0.664,0.564
STAD,PLCXD3,PRR9,1.51,6.74E-06,1.25,0.000356,1.46,0.722,0.738
STAD,PNMA2,PRR9,1.53,8.65E-06,1.24,0.000487,1.513,0.717,0.796
STAD,PRKD1,PRR9,1.52,2.88E-06,1.3,0.000117,1.602,0.82,0.782
STAD,PRR9,SLC16A7,1.67,4.42E-06,1.33,0.000654,1.527,0.835,0.692
STAD,PRR9,SNCA,1.54,2.84E-06,1.31,0.00011,1.632,0.803,0.828
STAD,PRR9,ST8SIA6,1.6,8.64E-07,1.34,0.000307,1.487,0.748,0.739
STAD,PRR9,THSD7A,1.57,9.16E-06,1.26,0.000641,1.465,0.784,0.681
STAD,PRR9,TMEM132E,1.56,1.84E-05,1.23,0.00108,1.401,0.772,0.629
STAD,PRR9,TMEM88,1.66,3.62E-06,1.35,0.000414,1.539,0.814,0.724
STAD,PRR9,VIPR2,1.52,2.49E-05,1.23,0.000478,1.508,0.799,0.709
STAD,PRR9,VSTM2L,1.53,1.18E-05,1.28,0.000141,1.649,0.833,0.816
STAD,PRR9,ZFP92,1.51,1.16E-05,1.18,0.00256,1.224,0.691,0.533
STAD,PRSS1,UGT2B4,1.55,3.92E-06,1.15,0.00805,1.112,0.524,0.588
STAD,PWP2,TTC29,1.54,4.83E-09,1.39,7.64E-05,1.51,0.816,0.694
STAD,RARA,TFAP2B,1.52,6.60E-06,1.15,0.00466,1.174,0.613,0.56
STAD,RND1,SVEP1,1.51,2.07E-06,1.2,0.000566,1.494,0.717,0.777
STAD,SLITRK3,SPANXB1,1.51,0.000102,1.14,0.007,1.132,0.503,0.629
STAD,SPANXB1,STEAP4,1.6,4.37E-06,1.28,0.00312,1.201,0.608,0.593
STAD,SPANXB1,THSD7A,1.5,4.59E-05,1.17,0.00367,1.208,0.632,0.576
STAD,STX1A,WNT16,1.52,4.68E-06,1.13,0.00722,1.123,0.569,0.554
STAD,TDO2,UGT2B4,1.58,1.41E-06,1.18,0.00812,1.113,0.524,0.589
STAD,TDO2,ZNF883,1.59,2.88E-08,1.38,2.41E-05,1.698,0.656,1.042
STAD,TMEM37,TTC29,1.74,1.46E-08,1.4,0.000899,1.38,0.599,0.781
