cancer_type_abbr,gene1,gene2,all.high_others_diff,all.high_others_pval.log.rank.5y,all.high_others_log2.HR.5y,two_factors_pval.log.rank.5y,all.high_all.low_log2.HR.5y,high.low_all.low_log2.HR.5y,low.high_all.low_log2.HR.5y
STAD,C21orf33,PRAMEF18,1.54,9.50E-06,1.17,0.00432,1.185,0.614,0.57
STAD,C21orf33,TTC29,1.59,5.90E-08,1.31,0.000791,1.334,0.608,0.726
STAD,C5AR1,LCE2B,1.85,0.00501,1.74,0.00206,1.856,0.652,1.205
STAD,C5orf58,CDH7,1.61,1.01E-06,1.18,0.0172,0.989,0.496,0.493
STAD,C5orf58,GH2,1.53,1.98E-05,1.33,0.000152,1.524,0.543,0.981
STAD,C5orf58,LCE2B,2.15,0.000108,1.9,0.00784,1.608,0.503,1.105
STAD,C5orf58,LCE2D,1.67,0.000986,1.44,0.00866,1.394,0.491,0.902
STAD,C5orf58,PRAMEF18,1.54,5.62E-06,1.13,0.0202,0.914,0.439,0.475
STAD,C6,GH2,1.58,1.40E-06,1.42,0.000122,1.5,0.565,0.935
STAD,C6,KRTAP2-3,1.5,1.92E-05,1.16,0.00178,1.333,0.669,0.664
STAD,C6,LCE2D,1.7,0.00033,1.51,0.00472,1.438,0.56,0.878
STAD,C6,RLN1,1.5,3.45E-06,1.16,0.00195,1.316,0.662,0.653
STAD,C6,SALL4,1.66,3.32E-07,1.27,0.00408,1.229,0.65,0.579
STAD,C6,SPANXB1,1.52,3.58E-05,1.2,0.00223,1.296,0.628,0.668
STAD,C8B,CST5,1.57,3.51E-07,1.29,0.000475,1.449,0.703,0.746
STAD,C8B,DGKG,1.53,1.04E-06,1.2,0.00247,1.236,0.647,0.589
STAD,C8B,LCE2B,1.51,0.00238,1.45,0.00454,1.524,0.569,0.955
STAD,C8B,LCE2D,1.67,0.000224,1.5,0.00394,1.419,0.581,0.839
STAD,C8B,RASD2,1.52,3.79E-06,1.16,0.00464,1.142,0.621,0.52
